Brand,Model,Processor,RAM (GB),Storage (GB),Screen Size (inches),Graphics Card,Operating System,Weight (kg),Battery Life (hours),Price ($),Warranty (years)
MSI,Model 0,Intel i7,16,512,13.3,Intel UHD,Windows 10,1.74,3.9,1739.21,1
Lenovo,Model 1,AMD Ryzen 9,16,256,13.3,Intel UHD,Windows 10,2.4,14.4,1586.66,3
Asus,Model 2,AMD Ryzen 5,32,2048,17.0,AMD Radeon,Linux,1.99,14.0,2135.75,3
MSI,Model 3,AMD Ryzen 7,64,2048,17.0,Intel UHD,Linux,2.69,11.2,2678.05,2
Apple,Model 4,AMD Ryzen 7,64,2048,14.0,NVIDIA GTX 1650,Linux,1.14,8.6,2927.48,2
Razer,Model 5,Intel i7,16,2048,17.0,AMD Radeon,macOS,1.31,4.1,2329.18,2
Asus,Model 6,Intel i5,16,512,13.3,AMD Radeon,Windows 10,2.25,12.5,1685.18,2
Asus,Model 7,AMD Ryzen 5,8,512,17.0,AMD Radeon,macOS,1.84,3.9,1585.82,3
MSI,Model 8,AMD Ryzen 7,8,256,15.6,NVIDIA RTX 3060,Windows 10,1.74,3.8,1836.38,1
HP,Model 9,Intel i7,16,1024,15.6,NVIDIA RTX 3060,Windows 10,1.17,9.4,2074.18,1
Apple,Model 10,AMD Ryzen 7,8,1024,14.0,NVIDIA RTX 3060,Windows 11,3.24,4.9,2351.99,2
MSI,Model 11,AMD Ryzen 5,8,256,13.3,NVIDIA RTX 3070,Windows 10,2.73,3.1,1940.84,3
Apple,Model 12,AMD Ryzen 5,16,1024,15.6,NVIDIA GTX 1650,Linux,1.3,8.1,2379.39,2
Apple,Model 13,Intel i9,16,256,17.0,AMD Radeon,Linux,1.16,4.6,2172.01,2
Razer,Model 14,AMD Ryzen 9,64,512,15.6,AMD Radeon,Linux,3.44,4.9,2282.96,3
Asus,Model 15,AMD Ryzen 9,16,2048,15.6,NVIDIA RTX 3060,Windows 11,2.7,3.9,1918.36,1
Lenovo,Model 16,Intel i7,16,2048,14.0,AMD Radeon,Windows 11,2.04,5.5,1519.18,1
Razer,Model 17,AMD Ryzen 5,32,512,17.0,AMD Radeon,macOS,2.75,11.6,2213.94,2
Razer,Model 18,Intel i9,64,2048,17.0,Intel UHD,Windows 10,2.89,12.7,2802.9,3
Apple,Model 19,Intel i9,64,2048,17.0,AMD Radeon,Windows 10,2.95,8.4,2810.35,1
Acer,Model 20,AMD Ryzen 7,64,1024,14.0,NVIDIA RTX 3070,Linux,2.19,9.1,2419.35,1
Asus,Model 21,AMD Ryzen 7,32,512,17.0,NVIDIA RTX 3060,Linux,2.07,3.4,1962.13,3
HP,Model 22,Intel i9,16,1024,17.0,NVIDIA GTX 1650,Linux,1.03,3.8,2052.53,3
Razer,Model 23,AMD Ryzen 7,64,1024,15.6,NVIDIA GTX 1650,Linux,3.32,6.1,2227.59,1
Lenovo,Model 24,AMD Ryzen 5,64,2048,15.6,Intel UHD,Linux,2.51,9.5,1871.64,2
Acer,Model 25,Intel i5,8,2048,17.0,NVIDIA GTX 1650,Linux,1.51,11.9,1625.94,2
Acer,Model 26,AMD Ryzen 5,64,512,13.3,NVIDIA GTX 1650,Windows 10,3.3,10.3,1459.65,1
HP,Model 27,Intel i9,16,2048,13.3,NVIDIA RTX 3060,Windows 11,3.29,7.7,2271.45,2
Razer,Model 28,Intel i9,16,2048,17.0,NVIDIA RTX 3060,Linux,3.47,4.4,2592.3,2
Lenovo,Model 29,AMD Ryzen 5,8,512,13.3,NVIDIA RTX 3070,Windows 10,3.19,12.4,1776.45,3
Asus,Model 30,AMD Ryzen 7,64,2048,14.0,Intel UHD,Linux,3.49,7.4,1985.34,3
Dell,Model 31,AMD Ryzen 7,64,1024,15.6,NVIDIA GTX 1650,macOS,1.61,11.8,2623.04,3
Lenovo,Model 32,AMD Ryzen 9,64,512,14.0,NVIDIA RTX 3070,macOS,3.11,9.2,2360.38,2
HP,Model 33,Intel i9,32,2048,15.6,Intel UHD,Windows 10,3.06,11.9,2027.64,3
Acer,Model 34,Intel i7,64,256,13.3,NVIDIA GTX 1650,Windows 11,1.58,13.9,2140.08,3
Asus,Model 35,AMD Ryzen 9,16,512,13.3,NVIDIA GTX 1650,macOS,1.25,14.1,1554.17,1
Lenovo,Model 36,AMD Ryzen 7,16,512,17.0,NVIDIA RTX 3060,macOS,3.45,9.4,1884.13,3
Dell,Model 37,AMD Ryzen 5,32,256,13.3,AMD Radeon,Windows 11,1.74,9.1,1288.35,1
Dell,Model 38,AMD Ryzen 7,32,2048,13.3,Intel UHD,macOS,3.18,6.2,1625.77,2
Apple,Model 39,AMD Ryzen 5,64,2048,17.0,NVIDIA GTX 1650,Linux,1.01,14.2,3116.33,3
Apple,Model 40,AMD Ryzen 9,8,512,17.0,Intel UHD,Windows 11,1.05,8.5,2332.07,1
MSI,Model 41,Intel i9,32,512,15.6,NVIDIA RTX 3070,macOS,2.16,4.5,2506.61,1
HP,Model 42,AMD Ryzen 7,32,2048,13.3,NVIDIA RTX 3070,Windows 11,1.6,8.2,2275.85,1
Razer,Model 43,AMD Ryzen 5,64,2048,15.6,AMD Radeon,Linux,2.72,4.5,2474.73,2
Lenovo,Model 44,Intel i9,64,1024,15.6,NVIDIA GTX 1650,macOS,2.41,9.0,2099.42,3
Lenovo,Model 45,Intel i7,32,512,14.0,NVIDIA RTX 3060,Windows 10,1.19,9.7,1882.72,2
Razer,Model 46,AMD Ryzen 5,8,512,13.3,NVIDIA GTX 1650,macOS,1.41,7.1,1792.8,1
MSI,Model 47,AMD Ryzen 9,32,256,13.3,Intel UHD,macOS,1.97,3.9,2028.67,2
Acer,Model 48,Intel i7,64,1024,14.0,NVIDIA RTX 3070,Linux,1.46,14.3,2483.24,2
Acer,Model 49,Intel i7,64,2048,15.6,Intel UHD,Windows 10,2.98,12.3,1687.04,1
MSI,Model 50,Intel i5,32,1024,13.3,AMD Radeon,Windows 10,2.04,13.1,2094.11,3
Acer,Model 51,AMD Ryzen 7,8,2048,15.6,NVIDIA RTX 3070,Windows 10,1.23,7.4,2042.24,3
Apple,Model 52,AMD Ryzen 5,32,2048,14.0,NVIDIA RTX 3060,Linux,2.21,12.1,2714.76,2
Lenovo,Model 53,Intel i7,32,1024,17.0,NVIDIA RTX 3070,Linux,1.23,8.8,2429.15,3
MSI,Model 54,Intel i5,64,512,15.6,NVIDIA GTX 1650,Linux,1.32,5.4,2238.65,1
Lenovo,Model 55,AMD Ryzen 9,8,2048,13.3,NVIDIA GTX 1650,Linux,1.6,4.5,1985.39,3
Razer,Model 56,Intel i9,16,1024,17.0,NVIDIA RTX 3070,Linux,3.15,7.1,2606.22,2
Dell,Model 57,AMD Ryzen 5,8,256,15.6,AMD Radeon,Windows 10,3.31,4.7,1261.12,1
Apple,Model 58,Intel i7,32,1024,15.6,NVIDIA GTX 1650,Windows 11,3.07,15.0,2628.49,1
Asus,Model 59,AMD Ryzen 7,32,256,17.0,NVIDIA GTX 1650,Linux,1.84,3.6,1766.13,1
Apple,Model 60,Intel i5,32,2048,17.0,NVIDIA RTX 3060,Windows 11,1.68,8.3,2718.62,2
MSI,Model 61,Intel i7,8,1024,17.0,NVIDIA RTX 3070,macOS,2.37,8.4,2340.95,2
Asus,Model 62,AMD Ryzen 7,64,1024,13.3,NVIDIA GTX 1650,macOS,2.8,6.6,1907.65,3
Dell,Model 63,Intel i7,32,256,13.3,AMD Radeon,Linux,3.48,9.9,1570.27,2
